l,8048
l,8059
d,8059
l,8091
u,8095
d,8097
u,8108
d,8131
l,8308
u,8316
l,8317
l,8327
l,8332
u,8332
d,8338
l,8370
l,8386
u,8386
u,8387
u,8399
u,8400
d,8402
u,8414
l,8423
u,8425
d,8426
u,8438
u,8442
l,8441
u,8445
d,8448
l,8458
l,8471
u,8472
d,8473
l,8486
d,8489
l,8550
d,8589
l,8599
l,8605
u,8604
l,8607
d,8608
l,8620
u,8629
l,8653
u,8701
u,8761
l,8768
u,8772
u,8786
u,8789
u,8791
u,8802
u,8817
l,8822
u,8824
u,8827
u,8837
u,8840
u,8842
u,8844
u,8855
l,8858
u,8859
d,8859
l,8870
u,8887
l,8940
u,8941
u,8943
u,8945
u,8956
u,8967
u,8969
u,8971
u,8973
u,8976
u,8978
d,8991
l,8996
l,9005
u,9009
u,9014
u,9030
d,9039
l,9075
u,9168
u,9292
l,9693
d,10322
l,11561
l,11569
u,11579
l,11585
d,11590
l,11622
d,12105
u,12119
u,12608
u,11634
u,11637
l,11649
u,11666
l,16030
l,16033
d,15057
l,14338
l,14805
u,13681
l,13201
l,13571
u,15628
d,14103
l,15157
l,13619
u,13618
u,12595
u,12607
u,13121
l,12120
u,12628
l,16728
d,16729
d,16361
l,14949
l,13604
l,13710
d,13712
l,13719
l,12457
u,12172
u,12183
u,12184
l,12188
d,12189
u,12194
l,12199
l,12210
u,12232
u,12234
l,12237
u,12239
l,12239
l,12249
l,12253
u,12252
u,12266
l,12285
u,12289
u,12298
u,12302
u,12303
u,12307
d,12321
l,12323
l,12328
u,12342
u,12344
d,12352
l,12358
u,12368
l,12373
u,12377
d,12378
u,12389
l,12413
u,12417
l,12422
r,12484
u,12505
u,12515
u,12515
u,12524
l,12522
u,12526
u,12529
u,12531
d,12531
l,12542
u,12558
u,12606
u,12610
l,12623
u,12639
u,12642
u,12644
u,12646
u,12657
u,12659
d,12659
l,12670
u,12670
r,12689
u,12722
u,12816
l,12828
u,12832
l,12832
d,12889
l,13470
l,13539
u,13553
l,13603
u,13611
l,13634
u,13668
l,13785
l,15116
u,13809
d,14367
d,14368
u,13824
u,13821
u,13823
u,13824
u,13834
u,13839
u,13862
u,13864
u,13867
u,13873
l,13878
l,13878
l,13889
u,13911
u,13913
l,13916
u,15621
d,13910
u,13939
l,13945
u,13958
u,13962
u,13963
u,13975
u,13995
u,13997
u,13999
u,14008
u,14009
u,14011
u,14013
u,14019
u,14029
u,14054
u,14089
u,14098
u,14099
u,14103
u,14107
u,14109
l,14118
u,14129
l,14133
u,14134
d,14164
l,14363
l,14369
u,14369
d,14371
l,14383
u,14405
u,14407
u,14410
d,14418
l,14431
u,14461
l,14497
l,14497
u,14494
u,14501
l,14496
u,14504
u,14513
u,14517
u,14518
u,14529
u,14533
u,14534
r,14538
u,14586
l,14594
u,14602
u,14621
l,14624
u,14627
r,14655
u,14756
u,14775
u,14779
l,14784
u,14784
r,14790
u,14793
u,14796
l,14813
u,14829
l,14830
l,14832
u,14834
u,14843
u,14858
u,14858
l,14855
l,14865
r,14880
u,14938
u,14944
l,14944
l,14949
u,14951
d,15007
l,15407
d,16037
u,16066
l,16093
d,16765
d,16764
l,16085
u,16087
u,16097
u,16098
l,16102
u,16110
u,16114
u,16115
u,16120
u,16143
u,16147
u,16159
u,16168
u,16169
u,16173
u,16174
l,16178
u,16188
u,16205
u,16206
l,16210
d,16227
l,16332
u,16335
l,16374
u,16390
l,16391
u,16395
u,16404
u,16410
u,16410
l,16414
u,16419
u,16420
u,16428
u,16429
l,16433
u,16434
l,16435
r,16445
u,16475
u,16524
u,16526
u,16533
u,16539
l,16538
r,16540
l,16557
l,16558
l,16560
l,16561
u,16561
r,16564
u,16573
l,16611
u,16703
l,16708
u,16715
l,16727
u,16743
l,16747
u,16749
u,16750
u,16751
u,16755
l,16756
r,16763
l,16774
r,16778
l,16788
u,16796
r,16827
u,16832
u,16842
l,16844
u,16847
d,16905
l,16914
l,16935
u,16937
l,16947
l,16951
u,16955
d,16955
u,16958
l,16960
l,16969
u,16970
l,16972
l,16977
l,16979
r,16979
l,16996
u,17029
l,17095
d,17099
l,17112
u,17127
l,17144
u,17153
u,17153
l,17158
u,17166
u,17166
u,17171
u,17173
d,17188
l,17193
l,17203
l,17222
u,17245
u,17281
u,17281
u,17284
l,17296
u,17298
u,17301
u,17303
l,17306
u,17308
u,17310
u,17321
l,17343
u,17345
u,17347
u,17358
u,17369
u,17371
l,17374
l,17376
l,17380
u,17382
d,17382
l,17393
u,17409
u,17457
u,17523
l,17532
u,17550
u,17552
d,17556
u,17567
l,17571
u,17574
d,17576
l,17587
u,17587
d,17589
l,17613
l,17625
d,17627
l,17630
u,17632
r,17699
u,17821
r,18069
u,18083
l,18087
d,18100
l,18101
u,18109
d,18116
l,18125
u,18133
l,18157
u,18161
l,18166
u,18166
u,18168
u,18179
u,18182
u,18192
u,18194
u,18197
u,18199
l,18202
l,18212
u,18229
u,18277
l,18280
u,18285
l,18289
u,18291
l,18294
u,18296
d,18309
l,18314
u,18314
u,18318
u,18327
u,18331
d,18338
l,18374
u,18475
u,18602
l,18607
l,18612
u,18620
u,18646
u,18648
u,18651
u,18653
u,18664
u,18666
u,18671
l,18675
u,18677
d,18677
l,18688
u,18706
u,18754
u,18758
d,18764
l,18766
l,18780
u,18806
u,18813
l,18817
u,18820
u,18822
d,18823
d,18827
u,18836
l,18846
u,18864
u,18913
u,18915
l,18918
u,18928
u,18931
u,18933
l,18936
u,18938
d,18951
l,18956
u,18956
u,18960
u,18969
u,18973
d,18980
l,19016
u,19117
u,19119
u,19122
u,19132
d,19142
l,19143
d,19148
l,19153
u,19161
l,19185
l,19195
u,19198
u,19200
l,19205
u,19205
d,19206
d,19210
u,19219
l,19229
u,19247
u,19296
u,19298
u,19305
u,19306
l,19310
u,19312
d,19312
l,19323
u,19339
u,19342
l,19343
l,19353
u,19355
d,19364
l,19401
u,19495
u,19506
u,19509
u,19519
u,19521
u,19524
u,19526
u,19536
u,19555
u,19558
u,19560
l,19563
u,19565
u,19575
l,19588
u,19592
u,19603
u,19604
u,19607
d,19624
l,19635
u,19635
d,19644
l,19649
u,19653
u,19662
u,19666
u,19666
u,19671
u,19679
u,19700
d,19701
l,19769
u,19962
u,20210
l,21080
d,22263
l,24344
u,24347
